time_ms,weight_kg,accel_x,accel_y,accel_z,tilt_x,tilt_y,sync
1922898.0,-2.4643,0.3208,0.972,9.7971,5.663,-1.876,0
1922948.0,-2.5864,0.3543,0.9337,9.821,5.428,-2.066,0
1922998.0,-2.4828,0.2969,0.9481,9.8737,5.482,-1.722,0
1923048.0,-2.6139,0.316,0.9337,9.8114,5.434,-1.845,0
1923098.0,-2.5494,0.3256,0.9768,9.8593,5.655,-1.892,0
1923148.0,-2.6136,0.3448,0.9673,9.7875,5.641,-2.017,0
1923198.0,-2.4965,0.3448,0.9337,9.8928,5.389,-1.996,0
1923248.0,-2.6092,0.3448,0.9098,9.8497,5.274,-2.005,0
1923298.0,-2.4529,0.3543,0.9816,9.845,5.69,-2.061,0
1923348.0,-2.4957,0.3352,0.9481,9.8402,5.5,-1.951,0
1923398.0,-2.4496,0.3208,0.9768,9.8258,5.674,-1.87,0
1923448.0,-2.5838,0.3974,0.929,9.8593,5.378,-2.308,0
1923498.0,-2.5454,0.3448,0.9864,9.845,5.718,-2.006,0
1923548.0,-2.6163,0.3256,0.9481,9.8354,5.503,-1.896,0
1923598.0,-2.5194,0.3543,0.9673,9.8402,5.61,-2.062,0
1923648.0,-2.5877,0.3112,0.9337,9.7971,5.442,-1.82,0
1923698.0,-2.4511,0.3543,0.9577,9.8162,5.569,-2.067,0
1923748.0,-2.5138,0.3352,0.9433,9.8354,5.475,-1.952,0
1923798.0,-2.4719,0.2682,0.9625,9.8545,5.576,-1.559,0
1923848.0,-2.6152,0.3256,0.9816,9.8354,5.696,-1.896,0
1923898.0,-2.5085,0.3591,0.9481,9.8067,5.518,-2.097,0
1923948.0,-2.6377,0.3352,0.9433,9.8402,5.473,-1.951,0
1923998.0,-2.5982,0.3208,0.9194,9.8354,5.337,-1.868,0
1924048.0,-2.6109,0.3543,0.9673,9.8162,5.624,-2.067,0
1924098.0,-2.4718,0.3496,0.9673,9.8545,5.602,-2.032,0
1924148.0,-2.5267,0.3639,0.9385,9.8689,5.429,-2.112,0
