time_s,source,weight_kg,accel_x,accel_y,accel_z,norm_accel,pitch_deg,roll_deg,angle_deg,L_mm,sync
0.000000,video,,,,,,,,0.395137,106.241750,0
0.016665,video,,,,,,,,0.559355,105.071936,0
0.033330,video,,,,,,,,1.426156,105.978979,0
0.049995,video,,,,,,,,1.412486,107.004422,0
0.066660,video,,,,,,,,0.633077,106.099163,0
0.083325,video,,,,,,,,0.320085,104.922029,0
0.099990,video,,,,,,,,0.630465,106.538747,0
0.116655,video,,,,,,,,1.804613,107.024989,0
0.133321,video,,,,,,,,0.558576,105.218466,0
0.149986,video,,,,,,,,0.474816,106.096330,0
0.166651,video,,,,,,,,0.556252,105.658055,0
0.183316,video,,,,,,,,0.633077,106.099163,0
0.199981,video,,,,,,,,1.733319,106.581064,0
0.216646,video,,,,,,,,0.396230,105.948683,0
0.233311,video,,,,,,,,0.556252,105.658055,0
0.249976,video,,,,,,,,0.396230,105.948683,0
0.266641,video,,,,,,,,0.397329,105.655616,0
0.283306,video,,,,,,,,0.474816,106.096330,0
0.299971,video,,,,,,,,0.472857,106.535925,0
0.316636,video,,,,,,,,0.629599,106.685275,0
0.333301,video,,,,,,,,0.550148,106.830296,0
0.349966,video,,,,,,,,0.629599,106.685275,0
0.366631,video,,,,,,,,0.633077,106.099163,0
0.383297,video,,,,,,,,0.476792,105.656734,0
0.399962,video,,,,,,,,0.557799,105.364995,0
0.416627,video,,,,,,,,0.395683,106.095217,0
0.433292,video,,,,,,,,0.559355,105.071936,0
0.449957,video,,,,,,,,0.474161,106.242862,0
0.466622,video,,,,,,,,0.474161,106.242862,0
0.483287,video,,,,,,,,0.558576,105.218466,0
0.499952,video,,,,,,,,0.556252,105.658055,0
0.516617,video,,,,,,,,1.726200,107.020475,0
0.533282,video,,,,,,,,0.079029,106.239325,0
0.549947,video,,,,,,,,1.424187,106.125470,0
0.566612,video,,,,,,,,0.629599,106.685275,0
0.583277,video,,,,,,,,1.410555,107.150914,0
0.599942,video,,,,,,,,0.474816,106.096330,0
0.616608,video,,,,,,,,0.479451,105.070607,0
0.633273,video,,,,,,,,0.474161,106.242862,0
0.649938,video,,,,,,,,0.478118,105.363671,0
0.666603,video,,,,,,,,1.571506,106.865565,0
0.683268,video,,,,,,,,1.253880,107.144101,0
0.699933,video,,,,,,,,0.943055,106.839843,0
0.716598,video,,,,,,,,0.476792,105.656734,0
0.733263,video,,,,,,,,0.637479,105.366524,0
0.749928,video,,,,,,,,0.556252,105.658055,0
0.766593,video,,,,,,,,0.556252,105.658055,0
0.783258,video,,,,,,,,0.476792,105.656734,0
0.799923,video,,,,,,,,0.474816,106.096330,0
0.816588,video,,,,,,,,0.474161,106.242862,0
0.833253,video,,,,,,,,0.632204,106.245691,0
0.849918,video,,,,,,,,0.630465,106.538747,0
0.866584,video,,,,,,,,0.474816,106.096330,0
0.883249,video,,,,,,,,0.556252,105.658055,0
0.899914,video,,,,,,,,0.554714,105.951115,0
0.916579,video,,,,,,,,0.396779,105.802150,0
0.933244,video,,,,,,,,0.869249,106.251451,0
0.949909,video,,,,,,,,0.558576,105.218466,0
0.983239,video,,,,,,,,1.503273,106.129213,0
0.999904,video,,,,,,,,1.503273,106.129213,0
1.016569,video,,,,,,,,0.556252,105.658055,0
1.033234,video,,,,,,,,0.630465,106.538747,0
1.049899,video,,,,,,,,1.804613,107.024989,0
1.066564,video,,,,,,,,0.629599,106.685275,0
1.083229,video,,,,,,,,0.556252,105.658055,0
1.099894,video,,,,,,,,0.629599,106.685275,0
1.116560,video,,,,,,,,0.474161,106.242862,0
1.133225,video,,,,,,,,0.550904,106.683765,0
1.149890,video,,,,,,,,0.557799,105.364995,0
1.166555,video,,,,,,,,1.424187,106.125470,0
1.183220,video,,,,,,,,0.633077,106.099163,0
1.199885,video,,,,,,,,0.476792,105.656734,0
1.216550,video,,,,,,,,0.474161,106.242862,0
1.233215,video,,,,,,,,0.476792,105.656734,0
