time_ms,accel_x,accel_y,accel_z,pitch,roll,sync
2352694.0,-0.018,-0.003,-0.006,-8.06,106.7,0
2352699.0,-0.004,-0.015,0.018,-37.9,12.21,0
2352704.0,-0.035,0.009,-0.032,11.05,132.2,0
2352709.0,-0.002,-0.022,-0.032,-34.44,177.13,0
2352714.0,-0.018,-0.0,-0.003,-0.98,99.62,0
2352719.0,-0.016,-0.0,0.004,-1.11,75.7,0
2352724.0,0.006,-0.005,-0.01,-23.56,-151.52,0
2352729.0,-0.011,-0.017,-0.003,-55.82,105.57,0
2352734.0,0.013,-0.012,0.028,-21.76,-24.51,0
2352739.0,0.008,-0.003,-0.001,-18.71,-95.15,0
2352744.0,0.022,0.012,0.006,26.61,-73.87,0
2352749.0,0.022,-0.027,-0.025,-38.69,-137.82,0
2352754.0,-0.026,-0.015,0.018,-25.0,54.18,0
2352759.0,-0.004,0.007,0.002,57.77,67.22,0
2352764.0,-0.018,-0.008,-0.049,-8.22,159.31,0
2352769.0,-0.011,-0.003,0.006,-11.87,59.95,0
2352774.0,-0.03,-0.036,0.006,-49.44,77.97,0
2352779.0,0.025,-0.005,-0.039,-6.31,-147.63,0
2352784.0,-0.011,-0.029,-0.003,-68.23,105.57,0
2352789.0,-0.014,-0.027,0.006,-60.59,64.52,0
2352794.0,-0.002,0.004,0.009,26.41,10.22,0
2352799.0,-0.004,0.004,-0.001,47.78,100.22,0
2352804.0,0.003,-0.003,0.026,-6.0,-7.1,0
2352809.0,0.003,-0.0,0.042,-0.43,-4.31,0
2352814.0,-0.002,-0.012,-0.006,-64.99,163.84,0
2352819.0,-0.009,-0.015,-0.017,-36.9,153.33,0
2352824.0,0.01,-0.0,0.033,-0.53,-17.55,0
2352829.0,-0.011,0.014,-0.003,50.45,105.57,0
2352834.0,-0.002,-0.048,-0.013,-75.14,172.83,0
2352839.0,-0.023,-0.027,0.018,-42.01,51.46,0
2352844.0,-0.014,0.009,-0.003,33.63,102.92,0
2352849.0,-0.016,-0.005,0.006,-16.52,67.95,0
2352854.0,-0.009,-0.003,0.011,-10.76,37.96,0
2352859.0,-0.045,-0.008,-0.01,-9.29,102.97,0
2352864.0,-0.004,-0.019,0.004,-73.69,44.44,0
2352869.0,0.003,0.007,0.006,43.59,-26.28,0
2352874.0,-0.006,-0.0,0.014,-1.21,25.07,0
2352879.0,0.003,0.004,0.006,31.8,-26.28,0
2352884.0,0.01,-0.005,0.006,-22.68,-58.08,0
2352889.0,-0.009,0.019,-0.02,40.92,156.17,0
2352894.0,-0.014,-0.012,0.002,-41.96,82.96,0
2352899.0,0.027,-0.015,0.028,-20.63,-44.09,0
2352904.0,0.006,-0.022,-0.006,-70.26,-134.59,0
2352909.0,-0.002,-0.01,-0.015,-33.12,173.96,0
2352914.0,0.041,-0.01,0.004,-13.35,-84.4,0
2352919.0,-0.014,0.012,0.004,39.44,73.3,0
2352924.0,0.001,0.002,-0.003,32.85,-165.62,0
2352929.0,-0.03,0.004,0.009,8.05,73.72,0
2352934.0,0.001,-0.0,0.004,-4.4,-11.1,0
2352939.0,-0.018,-0.017,-0.02,-32.26,137.27,0
2352944.0,-0.014,-0.005,0.002,-20.49,82.96,0
2352949.0,-0.016,-0.012,0.002,-37.44,84.01,0
2352954.0,-0.009,-0.024,0.014,-56.23,32.75,0
2352959.0,-0.014,0.016,0.011,43.01,50.33,0
2352964.0,-0.035,-0.003,0.004,-4.39,83.39,0
2352969.0,-0.018,-0.0,0.006,-0.94,70.6,0
2352974.0,0.006,0.026,0.021,50.34,-15.01,0
2352979.0,0.001,-0.029,0.03,-43.68,-1.5,0
2352984.0,-0.018,-0.015,0.023,-26.38,38.32,0
2352989.0,0.01,0.004,0.009,18.14,-49.51,0
2352994.0,0.006,-0.005,0.035,-8.16,-9.02,0
2352999.0,-0.002,0.012,0.004,69.44,21.42,0
2353004.0,-0.018,0.009,0.006,25.44,70.6,0
2353009.0,0.006,-0.0,-0.006,-2.33,-134.59,0
2353014.0,-0.018,0.021,0.002,49.03,84.78,0
2353019.0,0.01,-0.019,0.006,-57.88,-58.08,0
2353024.0,0.006,-0.003,-0.022,-6.74,-165.92,0
2353029.0,0.008,0.033,0.006,72.81,-50.99,0
2353034.0,0.013,0.019,0.002,55.64,-82.52,0
2353039.0,0.025,-0.019,0.002,-38.14,-86.13,0
2353044.0,-0.009,0.012,0.047,13.65,10.54,0
2353049.0,0.025,-0.012,-0.029,-17.72,-139.97,0
2353054.0,0.034,-0.022,0.009,-31.67,-75.53,0
2353059.0,-0.021,-0.022,-0.013,-41.96,121.45,0
2353064.0,-0.002,0.009,-0.006,58.23,163.84,0
2353069.0,-0.018,-0.005,-0.022,-10.04,140.5,0
2353074.0,-0.023,-0.01,0.009,-21.77,69.06,0
2353079.0,0.001,0.007,0.004,58.86,-11.1,0
2353084.0,-0.014,-0.003,0.011,-8.75,50.33,0
2353089.0,-0.023,-0.024,0.004,-45.91,80.03,0
2353094.0,0.001,0.016,-0.046,19.58,-179.01,0
2353099.0,-0.04,-0.003,-0.003,-3.88,94.46,0
2353104.0,-0.018,0.007,0.023,13.05,38.32,0
2353109.0,0.01,0.012,0.009,40.5,-49.51,0
2353114.0,-0.006,0.009,-0.015,29.47,157.06,0
2353119.0,0.003,0.019,-0.008,65.66,-158.0,0
2353124.0,-0.002,-0.01,-0.008,-50.84,168.58,0
2353129.0,0.006,-0.01,-0.015,-31.6,-159.68,0
2353134.0,0.001,0.024,0.026,42.67,-1.78,0
2353139.0,0.006,0.014,-0.017,37.43,-162.27,0
2353144.0,-0.011,-0.022,-0.001,-62.89,93.68,0
2353149.0,0.013,0.026,-0.01,57.77,-128.88,0
2353154.0,0.003,-0.012,-0.02,-31.41,-170.87,0
2353159.0,-0.009,-0.005,-0.008,-23.39,131.99,0
2353164.0,-0.009,-0.031,-0.008,-69.41,131.99,0
2353169.0,-0.011,0.007,0.011,23.4,44.8,0
2353174.0,-0.009,-0.003,0.018,-7.57,25.46,0
2353179.0,0.032,-0.015,0.002,-24.67,-87.0,0
2353184.0,0.003,0.021,-0.008,68.13,-158.0,0
2353189.0,0.003,0.004,0.028,9.01,-6.5,0
2353194.0,0.025,-0.041,-0.022,-50.94,-131.99,0
2353199.0,-0.002,-0.003,0.004,-31.83,21.42,0
2353204.0,0.001,-0.017,0.002,-83.8,-25.47,0
2353209.0,-0.011,-0.008,0.006,-30.16,59.95,0
2353214.0,-0.006,0.024,0.018,50.45,19.1,0
2353219.0,0.006,-0.027,0.026,-45.47,-12.3,0
2353224.0,0.001,0.012,-0.015,37.65,-176.97,0
2353229.0,-0.004,-0.017,-0.029,-29.89,172.28,0
2353234.0,-0.011,0.014,-0.01,42.75,132.66,0
2353239.0,0.006,-0.005,0.023,-12.07,-13.53,0
2353244.0,-0.023,-0.008,0.002,-17.92,85.86,0
2353249.0,-0.002,-0.003,0.016,-9.55,5.68,0
2353254.0,-0.006,-0.017,0.021,-38.09,17.04,0
2353259.0,0.015,-0.003,-0.056,-2.69,-164.79,0
2353264.0,0.015,-0.015,0.018,-31.6,-39.44,0
2353269.0,0.003,-0.019,-0.01,-61.03,-162.77,0
2353274.0,-0.004,0.007,0.011,29.89,19.53,0
2353279.0,-0.002,0.021,-0.053,21.67,178.29,0
2353284.0,-0.018,-0.043,-0.025,-54.7,143.34,0
2353289.0,-0.021,-0.0,-0.01,-0.79,116.39,0
2353294.0,-0.021,-0.008,0.038,-9.91,28.9,0
2353299.0,0.003,-0.012,-0.015,-38.56,-168.05,0
2353304.0,0.018,-0.005,0.03,-8.28,-30.0,0
2353309.0,0.008,0.012,0.023,25.38,-18.97,0
2353314.0,-0.002,0.002,-0.037,3.24,177.51,0
2353319.0,-0.011,-0.027,-0.003,-66.48,105.57,0
2353324.0,0.03,-0.012,-0.001,-22.59,-91.39,0
2353329.0,-0.026,-0.019,0.028,-27.19,42.36,0
2353334.0,-0.006,-0.008,-0.013,-27.84,153.29,0
2353339.0,-0.03,0.004,0.028,6.18,47.27,0
2353344.0,-0.004,-0.036,-0.003,-82.05,127.96,0
2353349.0,-0.026,-0.003,0.026,-4.29,44.91,0
2353354.0,-0.009,-0.008,0.002,-40.01,79.19,0
2353359.0,-0.016,-0.0,0.009,-1.0,60.97,0
2353364.0,0.015,-0.015,0.038,-19.92,-21.97,0
2353369.0,-0.009,-0.015,0.021,-33.01,22.85,0
2353374.0,-0.016,0.012,0.004,35.27,75.7,0
2353379.0,-0.004,-0.022,-0.027,-38.64,171.61,0
2353384.0,0.003,-0.022,-0.006,-73.77,-149.9,0
2353389.0,0.006,-0.003,0.002,-24.95,-73.3,0
2353394.0,-0.057,0.009,0.011,9.1,78.77,0
2353399.0,0.015,-0.0,0.006,-1.11,-66.91,0
2353404.0,-0.014,0.016,-0.029,26.89,155.26,0
2353409.0,0.008,0.002,0.016,6.61,-26.45,0
2353414.0,-0.016,-0.003,-0.003,-9.47,101.04,0
2353419.0,-0.028,-0.022,-0.008,-36.99,105.79,0
2353424.0,0.02,0.014,0.014,30.16,-55.63,0
2353429.0,-0.021,0.019,-0.001,42.21,91.98,0
2353434.0,0.008,0.019,-0.034,28.18,-166.88,0
2353439.0,-0.028,-0.005,-0.02,-8.47,125.43,0
2353444.0,-0.018,-0.0,-0.017,-0.72,133.6,0
2353449.0,-0.023,-0.01,-0.003,-22.97,97.66,0
2353454.0,-0.033,-0.005,0.011,-8.4,71.02,0
2353459.0,0.013,-0.019,-0.063,-16.86,-168.54,0
2353464.0,-0.011,-0.017,0.038,-23.53,16.55,0
2353469.0,-0.016,-0.0,0.002,-1.14,84.01,0
2353474.0,-0.002,-0.027,0.05,-28.26,1.84,0
2353479.0,0.01,-0.017,-0.006,-55.48,-117.96,0
2353484.0,0.013,-0.0,0.009,-1.18,-55.25,0
2353489.0,-0.018,-0.017,0.002,-42.82,84.78,0
2353494.0,-0.004,-0.003,0.028,-5.48,8.11,0
2353499.0,0.013,-0.003,0.047,-3.18,-15.15,0
2353504.0,-0.023,-0.005,0.011,-11.23,64.07,0
2353509.0,0.013,-0.015,-0.068,-12.02,-169.33,0
2353514.0,-0.009,0.004,-0.037,6.77,166.52,0
2353519.0,-0.028,0.016,0.03,21.71,42.57,0
2353524.0,-0.002,0.009,-0.02,24.91,175.41,0
2353529.0,-0.014,-0.0,0.028,-0.59,25.84,0
2353534.0,-0.018,-0.003,-0.022,-5.37,140.5,0
2353539.0,0.001,-0.01,0.006,-56.65,-7.04,0
2353544.0,0.001,-0.017,0.009,-62.49,-5.15,0
2353549.0,0.003,-0.039,0.033,-49.53,-5.56,0
2353554.0,0.001,-0.031,0.057,-28.99,-0.81,0
2353559.0,-0.004,-0.015,0.03,-25.59,7.48,0
2353564.0,-0.016,-0.027,-0.027,-40.32,149.46,0
2353569.0,-0.014,0.019,-0.015,42.87,138.03,0
2353574.0,0.013,-0.015,0.009,-43.38,-55.25,0
2353579.0,-0.021,-0.008,-0.008,-18.67,110.85,0
2353584.0,0.003,-0.0,0.006,-2.54,-26.28,0
2353589.0,-0.004,0.002,-0.001,27.1,100.22,0
2353594.0,-0.014,-0.015,-0.029,-24.36,155.26,0
2353599.0,-0.009,0.009,-0.003,44.82,109.52,0
2353604.0,0.003,0.012,0.016,35.47,-11.26,0
2353609.0,-0.011,0.007,-0.041,9.09,164.9,0
2353614.0,-0.014,-0.0,-0.01,-1.07,127.19,0
2353619.0,-0.006,0.014,-0.017,37.05,159.93,0
2353624.0,-0.014,-0.017,-0.001,-51.5,93.03,0
2353629.0,0.008,0.014,-0.025,28.45,-162.07,0
2353634.0,-0.014,0.012,0.016,29.01,40.22,0
2353639.0,0.01,0.016,0.021,35.24,-26.48,0
2353644.0,0.018,-0.005,-0.013,-13.27,-125.86,0
2353649.0,-0.028,-0.005,-0.01,-9.74,110.23,0
2353654.0,-0.006,0.019,-0.013,52.98,153.29,0
2353659.0,-0.006,0.009,-0.041,12.46,171.24,0
2353664.0,0.02,-0.034,0.014,-54.46,-55.63,0
2353669.0,0.01,0.021,0.018,45.1,-29.37,0
2353674.0,-0.018,0.019,-0.006,44.5,106.7,0
2353679.0,0.013,-0.039,-0.022,-56.4,-150.17,0
2353684.0,-0.011,-0.0,0.002,-1.62,81.47,0
2353689.0,-0.038,0.021,0.006,29.15,80.22,0
2353694.0,0.015,0.028,0.045,31.01,-18.71,0
2353699.0,-0.004,0.002,0.03,3.87,7.48,0
2353704.0,0.006,-0.019,-0.001,-73.87,-97.33,0
2353709.0,-0.03,-0.0,0.011,-0.57,69.64,0
2353714.0,-0.03,0.014,-0.034,17.07,138.47,0
2353719.0,-0.011,-0.003,-0.039,-3.82,164.02,0
2353724.0,0.008,-0.0,0.023,-0.74,-18.97,0
2353729.0,-0.028,-0.01,0.018,-16.47,56.58,0
2353734.0,-0.006,-0.017,-0.029,-29.54,167.77,0
2353739.0,-0.018,0.024,-0.001,52.13,92.24,0
2353744.0,-0.011,-0.015,-0.01,-44.02,132.66,0
2353749.0,-0.03,-0.015,-0.01,-24.63,108.75,0
2353754.0,-0.002,0.007,0.021,18.19,4.38,0
2353759.0,-0.011,-0.0,-0.029,-0.58,159.22,0
2353764.0,0.008,-0.024,0.03,-37.66,-14.71,0
2353769.0,0.001,0.007,0.018,20.4,-2.48,0
2353774.0,0.02,0.026,-0.02,42.73,-134.89,0
2353779.0,0.006,-0.022,0.028,-37.44,-11.28,0
2353784.0,0.003,-0.012,0.004,-67.18,-38.11,0
2353789.0,0.01,-0.048,-0.008,-74.86,-127.29,0
2353794.0,0.02,-0.003,-0.01,-6.89,-117.3,0
2353799.0,0.001,-0.022,-0.041,-27.83,-178.9,0
2353804.0,-0.002,0.007,0.033,11.81,2.79,0
2353809.0,0.032,-0.051,0.035,-46.8,-42.21,0
2353814.0,-0.004,-0.017,0.028,-31.12,8.11,0
2353819.0,0.006,0.014,0.018,36.1,-16.86,0
2353824.0,0.003,-0.01,-0.027,-19.96,-173.27,0
2353829.0,0.001,0.012,-0.017,33.66,-177.39,0
2353834.0,-0.011,-0.008,-0.032,-12.53,160.67,0
2353839.0,0.02,-0.012,0.016,-25.64,-51.2,0
2353844.0,-0.014,0.012,0.03,19.29,24.05,0
2353849.0,-0.018,0.021,-0.032,30.01,150.04,0
2353854.0,-0.021,-0.029,0.042,-31.62,26.09,0
2353859.0,0.001,-0.019,0.006,-71.51,-7.04,0
2353864.0,-0.002,-0.005,0.009,-29.57,10.22,0
2353869.0,-0.018,-0.008,0.006,-21.08,70.6,0
2353874.0,0.013,0.007,-0.001,28.22,-93.22,0
2353879.0,-0.011,0.019,0.011,49.9,44.8,0
2353884.0,-0.016,0.009,0.018,20.79,40.89,0
2353889.0,-0.002,-0.017,-0.01,-58.61,171.19,0
2353894.0,-0.021,-0.022,0.026,-33.56,39.01,0
2353899.0,-0.009,-0.034,0.004,-74.04,65.13,0
2353904.0,-0.03,-0.003,-0.008,-4.95,104.6,0
2353909.0,-0.018,-0.01,0.033,-14.75,29.23,0
2353914.0,0.003,0.014,-0.003,72.39,-134.28,0
2353919.0,-0.028,-0.01,-0.006,-19.17,101.15,0
2353924.0,0.01,0.004,0.002,23.04,-80.83,0
2353929.0,0.008,0.019,0.002,66.59,-78.14,0
2353934.0,0.006,0.007,-0.032,11.99,-170.05,0
2353939.0,-0.016,-0.01,-0.017,-22.69,137.6,0
2353944.0,-0.009,0.012,-0.013,37.06,145.32,0
2353949.0,0.003,0.021,-0.027,37.93,-173.27,0
2353954.0,-0.038,0.007,-0.01,10.01,105.35,0
2353959.0,-0.009,0.012,-0.025,23.99,160.41,0
2353964.0,-0.018,-0.01,0.011,-24.69,58.49,0
2353969.0,-0.011,0.009,0.018,23.24,31.22,0
2353974.0,-0.009,0.021,0.006,62.82,53.64,0
2353979.0,0.001,-0.012,0.004,-71.36,-11.1,0
2353984.0,-0.026,-0.0,-0.003,-0.71,96.95,0
2353989.0,-0.006,-0.034,0.018,-60.04,19.1,0
2353994.0,0.006,0.002,-0.008,12.1,-144.74,0
2353999.0,-0.018,-0.022,0.018,-40.05,44.88,0
2354004.0,0.001,0.009,-0.003,70.86,-165.62,0
2354009.0,-0.004,-0.017,-0.015,-47.58,165.18,0
2354014.0,-0.004,-0.008,0.014,-27.82,16.3,0
2354019.0,0.001,-0.022,-0.001,-87.19,-132.02,0
2354024.0,-0.009,-0.015,0.014,-42.14,32.75,0
2354029.0,-0.006,0.019,0.009,59.9,35.78,0
2354034.0,-0.004,-0.031,0.004,-79.73,44.44,0
2354039.0,-0.004,0.016,-0.013,51.02,162.54,0
2354044.0,0.001,0.016,0.006,68.39,-7.04,0
2354049.0,0.006,-0.005,-0.001,-42.2,-97.33,0
2354054.0,0.006,-0.036,-0.025,-55.09,-167.24,0
2354059.0,0.003,-0.01,-0.022,-23.75,-171.84,0
2354064.0,-0.002,-0.024,0.009,-69.65,10.22,0
2354069.0,0.02,-0.005,0.006,-13.69,-72.05,0
2354074.0,0.006,0.002,-0.013,8.51,-156.24,0
2354079.0,-0.002,-0.01,0.028,-19.43,3.26,0
2354084.0,-0.011,-0.008,0.004,-32.25,69.99,0
2354089.0,-0.011,-0.015,-0.013,-40.97,138.64,0
2354094.0,-0.011,0.016,-0.027,29.32,157.56,0
2354099.0,-0.023,0.009,0.004,21.5,80.03,0
2354104.0,-0.014,-0.015,0.016,-34.95,40.22,0
2354109.0,0.018,0.014,-0.013,32.96,-125.86,0
2354114.0,-0.011,-0.005,0.009,-19.71,51.59,0
2354119.0,-0.014,-0.029,-0.022,-48.09,148.65,0
2354124.0,-0.018,0.016,0.011,37.37,58.49,0
2354129.0,-0.014,0.004,0.014,13.08,44.83,0
2354134.0,0.003,0.002,0.021,5.62,-8.71,0
2354139.0,0.001,-0.003,-0.034,-4.53,-178.66,0
2354144.0,0.003,-0.031,-0.001,-84.06,-102.69,0
2354149.0,-0.009,-0.005,0.052,-5.54,9.59,0
2354154.0,-0.021,0.004,0.028,7.31,36.53,0
2354159.0,-0.002,-0.005,-0.034,-8.48,177.33,0
2354164.0,0.003,0.026,-0.006,76.25,-149.9,0
2354169.0,0.044,-0.01,0.014,-12.15,-72.73,0
2354174.0,0.018,0.007,-0.037,9.59,-154.39,0
2354179.0,-0.004,-0.027,-0.001,-81.35,100.22,0
2354184.0,-0.011,0.009,-0.003,38.6,105.57,0
2354189.0,-0.026,0.012,0.002,24.48,86.25,0
2354194.0,-0.006,-0.015,-0.039,-20.37,170.71,0
2354199.0,0.003,-0.031,-0.015,-63.88,-168.05,0
2354204.0,-0.002,-0.036,0.011,-72.58,8.07,0
2354209.0,0.008,-0.008,0.028,-14.44,-15.9,0
2354214.0,-0.023,-0.024,-0.027,-34.27,139.46,0
2354219.0,0.018,-0.01,-0.006,-28.27,-107.42,0
2354224.0,-0.04,0.007,0.028,8.01,54.93,0
2354229.0,-0.016,0.009,0.006,28.26,67.95,0
2354234.0,-0.014,-0.024,0.03,-36.08,24.05,0
2354239.0,0.001,-0.017,0.009,-62.49,-5.15,0
2354244.0,-0.002,-0.008,0.014,-28.64,6.67,0
2354249.0,-0.021,0.026,-0.025,38.91,139.92,0
2354254.0,0.008,-0.022,-0.051,-22.96,-171.11,0
2354259.0,0.008,0.004,0.026,9.46,-17.3,0
2354264.0,0.001,0.002,-0.001,62.63,-132.02,0
2354269.0,-0.023,-0.003,0.026,-4.49,42.1,0
2354274.0,0.01,-0.003,-0.044,-3.45,-166.68,0
2354279.0,-0.035,-0.017,0.018,-23.3,62.3,0
2354284.0,-0.006,0.026,0.018,53.14,19.1,0
2354289.0,0.003,0.031,0.014,65.54,-13.17,0
2354294.0,-0.002,0.021,0.002,83.78,43.61,0
2354299.0,-0.014,0.002,-0.006,8.07,112.09,0
2354304.0,-0.03,-0.027,0.009,-40.15,73.72,0
2354309.0,0.003,-0.012,-0.034,-19.67,-174.67,0
2354314.0,-0.004,0.028,0.026,47.62,8.85,0
2354319.0,-0.026,-0.0,0.038,-0.4,34.19,0
2354324.0,0.032,-0.01,-0.008,-16.75,-103.9,0
2354329.0,-0.023,-0.003,-0.027,-4.36,139.46,0
2354334.0,0.008,0.002,0.042,2.75,-10.67,0
2354339.0,0.001,-0.015,-0.001,-85.82,-132.02,0
2354344.0,0.006,-0.0,-0.017,-1.0,-162.27,0
2354349.0,-0.021,0.012,-0.015,24.43,126.02,0
2354354.0,0.001,-0.029,-0.041,-35.04,-178.9,0
2354359.0,-0.004,0.021,0.002,78.48,67.22,0
2354364.0,0.006,-0.0,0.047,-0.39,-6.75,0
2354369.0,0.001,-0.019,0.006,-71.51,-7.04,0
2354374.0,0.003,-0.003,-0.034,-4.51,-174.67,0
2354379.0,-0.021,0.002,0.016,4.52,52.29,0
2354384.0,0.006,0.007,-0.015,23.11,-159.68,0
2354389.0,-0.016,0.007,-0.022,14.06,144.37,0
2354394.0,-0.026,0.007,-0.037,8.74,145.12,0
2354399.0,-0.016,-0.003,0.04,-3.61,21.76,0
2354404.0,-0.021,-0.017,-0.013,-35.08,121.45,0
2354409.0,-0.014,-0.019,0.014,-45.34,44.83,0
2354414.0,0.03,0.002,-0.006,3.95,-100.57,0
2354419.0,-0.028,0.009,-0.008,17.69,105.79,0
2354424.0,-0.009,-0.015,0.028,-26.58,17.4,0
2354429.0,-0.009,0.014,0.035,21.17,14.01,0
2354434.0,-0.006,-0.024,0.028,-40.18,12.84,0
2354439.0,0.015,-0.027,-0.008,-57.32,-117.52,0
2354444.0,-0.004,-0.022,-0.037,-30.69,173.78,0
2354449.0,-0.009,-0.019,0.011,-53.76,37.96,0
2354454.0,0.01,-0.015,0.038,-20.64,-15.43,0
2354459.0,0.006,-0.005,-0.037,-7.85,-171.33,0
2354464.0,-0.028,-0.003,-0.013,-5.05,114.43,0
2354469.0,-0.035,-0.024,-0.003,-34.54,95.07,0
2354474.0,-0.002,0.004,-0.006,37.93,163.84,0
2354479.0,-0.002,-0.017,0.014,-51.18,6.67,0
2354484.0,0.003,0.012,0.038,17.16,-4.85,0
2354489.0,0.018,0.019,0.011,42.09,-57.34,0
2354494.0,-0.021,-0.034,0.006,-57.29,72.7,0
2354499.0,-0.002,0.012,-0.041,15.7,177.79,0
2354504.0,0.003,0.007,-0.008,38.85,-158.0,0
2354509.0,-0.018,-0.0,-0.013,-0.82,124.66,0
2354514.0,-0.018,-0.012,-0.006,-32.67,106.7,0
2354519.0,0.001,0.004,0.002,67.45,-25.47,0
2354524.0,-0.004,0.014,-0.013,46.56,162.54,0
2354529.0,0.003,-0.003,-0.017,-8.68,-169.65,0
2354534.0,-0.028,-0.01,0.016,-17.08,60.13,0
2354539.0,-0.016,0.026,0.014,51.09,49.47,0
2354544.0,0.008,-0.036,-0.01,-70.22,-142.22,0
2354549.0,0.013,0.009,0.021,20.75,-31.51,0
2354554.0,0.015,-0.0,0.014,-0.9,-48.01,0
2354559.0,-0.006,0.024,0.004,72.23,57.49,0
2354564.0,0.008,-0.003,-0.006,-15.63,-124.61,0
2354569.0,0.003,0.021,0.045,25.31,-4.08,0
2354574.0,0.02,0.002,0.016,4.63,-51.2,0
2354579.0,0.018,-0.01,-0.001,-29.39,-92.35,0
2354584.0,-0.016,-0.0,-0.044,-0.39,159.98,0
2354589.0,0.039,0.007,-0.039,7.08,-134.94,0
2354594.0,-0.009,0.016,0.002,61.47,79.19,0
2354599.0,-0.018,-0.01,-0.034,-14.29,151.8,0
2354604.0,0.003,-0.0,-0.02,-0.91,-170.87,0
2354609.0,-0.018,-0.019,0.006,-45.02,70.6,0
2354614.0,0.02,-0.003,-0.008,-7.21,-111.6,0
2354619.0,-0.016,0.002,-0.006,7.01,109.04,0
2354624.0,-0.021,0.016,-0.025,27.03,139.92,0
2354629.0,-0.004,-0.003,-0.001,-33.79,100.22,0
2354634.0,-0.009,-0.015,-0.058,-14.01,171.42,0
2354639.0,-0.004,-0.008,-0.032,-13.16,172.86,0
2354644.0,-0.033,-0.015,0.016,-21.95,63.88,0
2354649.0,-0.014,0.016,0.014,40.51,44.83,0
2354654.0,-0.011,-0.008,0.021,-17.61,28.21,0
2354659.0,-0.049,-0.015,0.035,-13.6,54.58,0
2354664.0,-0.026,-0.031,0.004,-50.57,80.95,0
2354669.0,0.018,-0.031,-0.008,-58.52,-114.23,0
2354674.0,-0.002,-0.01,0.002,-76.84,43.61,0
2354679.0,0.003,0.012,0.006,58.25,-26.28,0
2354684.0,0.006,0.009,0.014,32.12,-22.26,0
2354689.0,0.006,-0.022,0.009,-64.41,-32.24,0
2354694.0,-0.009,-0.003,-0.017,-7.9,153.33,0
2354699.0,-0.011,-0.005,-0.022,-11.59,153.35,0
2354704.0,0.006,-0.003,-0.01,-13.04,-151.52,0
2354709.0,-0.004,-0.024,-0.006,-74.34,144.08,0
2354714.0,-0.033,-0.012,0.033,-14.86,44.93,0
2354719.0,-0.009,-0.019,0.009,-57.36,44.74,0
2354724.0,-0.002,0.021,-0.015,54.45,173.96,0
2354729.0,-0.006,0.024,-0.034,34.15,169.44,0
2354734.0,-0.038,0.016,-0.041,16.39,137.84,0
2354739.0,-0.016,0.014,0.023,26.49,34.5,0
2354744.0,-0.011,-0.005,-0.015,-15.22,143.47,0
2354749.0,-0.004,-0.008,0.018,-21.69,12.21,0
2354754.0,-0.006,0.009,-0.003,52.5,115.99,0
2354759.0,-0.028,-0.019,0.004,-34.6,81.71,0
2354764.0,0.001,0.007,-0.037,10.61,-178.75,0
2354769.0,-0.004,-0.015,0.014,-45.93,16.3,0
2354774.0,-0.002,-0.005,0.023,-12.38,3.93,0
2354779.0,-0.011,0.007,-0.01,24.31,132.66,0
2354784.0,-0.023,-0.01,-0.001,-23.14,91.78,0
2354789.0,-0.014,0.012,0.03,19.29,24.05,0
2354794.0,0.022,0.012,-0.001,27.53,-91.84,0
2354799.0,0.001,-0.003,-0.013,-12.05,-176.4,0
2354804.0,-0.009,0.007,0.023,15.45,20.71,0
2354809.0,0.008,-0.005,0.011,-20.32,-35.35,0
2354814.0,-0.028,0.014,0.033,18.06,40.42,0
2354819.0,-0.009,-0.024,0.042,-29.28,11.7,0
2354824.0,0.008,0.007,-0.003,38.7,-111.31,0
2354829.0,-0.014,0.028,0.016,53.52,40.22,0
2354834.0,0.032,-0.015,0.026,-19.74,-51.25,0
2354839.0,0.006,0.036,0.016,64.49,-19.2,0
2354844.0,-0.011,0.012,-0.051,12.58,167.64,0
