time_ms,accel_x,accel_y,accel_z,pitch,roll,sync
595945.0,-0.019,-0.002,0.008,-4.67,67.33,0
595950.0,-0.021,0.008,0.034,11.09,31.9,0
595955.0,-0.019,0.015,0.013,33.51,56.14,0
595960.0,-0.033,-0.03,0.025,-36.28,53.46,0
595965.0,0.005,0.017,0.034,26.8,-8.35,0
595970.0,-0.009,-0.011,-0.028,-20.86,161.57,0
595975.0,-0.007,-0.004,-0.009,-19.88,141.91,0
595980.0,0.012,0.008,0.022,17.28,-28.74,0
595985.0,0.012,0.003,0.065,2.68,-10.58,0
595990.0,0.01,-0.011,-0.018,-28.31,-151.97,0
595995.0,0.017,-0.009,0.02,-18.71,-40.54,0
596000.0,-0.021,0.034,0.01,55.35,64.21,0
596005.0,0.007,-0.002,0.029,-3.16,-14.15,0
596010.0,0.005,-0.009,0.006,-49.91,-42.4,0
596015.0,0.022,0.008,0.02,15.0,-47.63,0
596020.0,0.005,-0.018,-0.006,-66.05,-142.13,0
596025.0,-0.002,-0.04,-0.028,-54.9,175.6,0
596030.0,0.015,0.02,-0.014,44.83,-133.06,0
596035.0,-0.012,0.044,0.008,72.11,56.04,0
596040.0,0.005,0.029,0.032,42.41,-8.97,0
596045.0,0.027,-0.002,0.008,-3.46,-73.44,0
596050.0,0.0,-0.05,0.008,-80.94,-1.74,0
596055.0,-0.019,-0.009,0.006,-24.21,73.77,0
596060.0,0.015,-0.006,0.006,-22.5,-69.34,0
596065.0,0.007,0.001,-0.011,3.05,-146.59,0
596070.0,0.007,0.02,-0.009,59.82,-140.04,0
596075.0,-0.005,-0.006,-0.009,-32.99,152.82,0
596080.0,-0.05,0.022,0.02,22.47,68.34,0
596085.0,-0.012,-0.014,0.001,-49.26,86.5,0
596090.0,-0.005,-0.028,0.022,-50.95,11.55,0
596095.0,-0.021,0.001,-0.011,1.71,117.84,0
596100.0,-0.017,-0.009,0.037,-12.43,24.27,0
596105.0,-0.012,-0.016,0.034,-23.9,18.91,0
596110.0,-0.002,-0.011,0.032,-19.42,3.87,0
596115.0,-0.007,0.003,0.032,5.46,12.3,0
596120.0,-0.002,0.022,0.032,34.9,3.87,0
596125.0,0.036,0.015,-0.004,22.52,-96.42,0
596130.0,0.017,0.02,0.013,43.13,-53.26,0
596135.0,0.017,0.013,0.006,35.38,-72.05,0
596140.0,0.0,0.003,0.003,44.92,-4.4,0
596145.0,-0.009,0.02,-0.002,64.48,100.18,0
596150.0,0.005,0.017,0.013,52.01,-21.62,0
596155.0,-0.021,-0.014,-0.004,-32.17,100.81,0
596160.0,-0.002,0.006,0.013,23.16,9.64,0
596165.0,-0.014,0.008,-0.002,29.05,96.77,0
596170.0,0.005,0.006,0.027,11.32,-10.53,0
596175.0,-0.031,0.017,0.008,28.73,75.65,0
596180.0,-0.024,0.017,0.039,20.95,31.27,0
596185.0,0.003,0.006,-0.011,25.48,-166.83,0
596190.0,0.005,-0.047,0.015,-71.37,-18.43,0
596195.0,-0.021,-0.006,0.022,-11.85,43.74,0
596200.0,-0.021,-0.038,0.013,-56.58,59.23,0
596205.0,-0.002,-0.04,0.017,-66.23,7.03,0
596210.0,0.041,-0.016,0.044,-14.98,-43.06,0
596215.0,0.003,-0.014,-0.006,-62.91,-157.84,0
596220.0,-0.024,-0.006,-0.009,-14.33,110.49,0
596225.0,0.01,-0.033,0.032,-44.55,-17.13,0
596230.0,-0.017,-0.004,0.008,-12.53,64.44,0
596235.0,-0.009,0.001,0.003,4.17,71.57,0
596240.0,0.012,-0.014,0.032,-21.81,-20.98,0
596245.0,0.0,-0.014,0.022,-31.5,-0.62,0
596250.0,0.01,0.003,0.001,17.55,-85.82,0
596255.0,-0.045,0.001,0.027,0.78,59.13,0
596260.0,-0.014,0.008,0.034,12.04,22.42,0
596265.0,0.027,0.022,-0.006,39.15,-103.67,0
596270.0,-0.033,-0.023,-0.016,-32.15,115.74,0
596275.0,0.015,0.001,0.015,1.96,-44.08,0
596280.0,-0.005,0.025,0.044,29.24,5.93,0
596285.0,-0.007,-0.002,-0.016,-5.48,156.6,0
596290.0,0.048,0.001,0.034,0.7,-54.57,0
596295.0,-0.007,-0.014,0.001,-62.91,84.1,0
596300.0,-0.009,0.008,0.017,21.74,28.11,0
596305.0,0.003,-0.006,0.013,-26.51,-11.73,0
596310.0,-0.017,-0.028,0.01,-55.21,58.07,0
596315.0,0.022,0.003,0.017,6.36,-51.26,0
596320.0,-0.002,-0.057,-0.006,-83.15,161.57,0
596325.0,-0.019,0.008,0.01,20.15,61.44,0
596330.0,-0.012,0.015,-0.009,45.74,127.06,0
596335.0,-0.005,0.01,0.003,61.84,55.63,0
596340.0,0.005,-0.016,-0.009,-57.58,-150.42,0
596345.0,-0.002,0.02,0.015,52.52,8.13,0
596350.0,0.017,0.015,-0.038,20.08,-155.67,0
596355.0,-0.026,0.013,0.02,21.15,52.71,0
596360.0,-0.014,-0.002,-0.014,-4.88,134.01,0
596365.0,-0.009,0.032,-0.018,57.02,153.14,0
596370.0,-0.038,-0.016,0.01,-22.13,74.87,0
596375.0,-0.002,-0.004,0.022,-10.31,5.53,0
596380.0,0.012,0.022,0.027,36.88,-24.29,0
596385.0,-0.009,-0.018,0.027,-32.79,19.04,0
596390.0,-0.002,0.022,0.044,26.91,2.82,0
596395.0,0.041,-0.035,0.01,-39.82,-75.89,0
596400.0,0.012,0.006,0.01,19.02,-49.86,0
596405.0,0.022,-0.03,0.013,-50.33,-59.78,0
596410.0,0.003,-0.002,0.027,-3.53,-5.56,0
596415.0,0.017,-0.011,-0.014,-27.3,-128.76,0
596420.0,0.012,0.001,-0.006,2.98,-117.9,0
596425.0,0.017,0.006,-0.002,17.87,-95.63,0
596430.0,-0.012,-0.03,-0.04,-36.12,163.65,0
596435.0,-0.012,0.015,0.032,23.96,20.23,0
596440.0,0.024,-0.018,0.001,-37.31,-88.3,0
596445.0,-0.038,-0.004,0.039,-4.27,44.29,0
596450.0,0.034,-0.016,-0.014,-23.78,-112.01,0
596455.0,-0.024,-0.016,-0.026,-24.68,137.22,0
596460.0,0.003,-0.011,0.006,-61.52,-25.56,0
596465.0,0.007,0.01,0.001,54.08,-84.47,0
596470.0,-0.021,-0.033,0.017,-49.96,50.64,0
596475.0,-0.009,0.008,0.025,16.68,20.74,0
596480.0,-0.007,-0.016,0.039,-22.03,10.09,0
596485.0,0.007,-0.014,-0.021,-31.68,-160.39,0
596490.0,-0.033,-0.009,0.017,-13.26,62.29,0
596495.0,0.0,-0.002,-0.018,-5.19,-179.26,0
596500.0,0.003,-0.016,-0.014,-49.09,-169.08,0
596505.0,-0.019,0.001,-0.004,2.13,102.14,0
596510.0,0.01,-0.016,0.008,-51.85,-51.17,0
596515.0,-0.012,0.027,0.008,62.4,56.04,0
596520.0,-0.009,0.001,-0.023,1.64,158.1,0
596525.0,-0.007,-0.014,0.013,-43.33,28.69,0
596530.0,0.027,-0.026,0.039,-28.48,-34.25,0
596535.0,-0.019,0.017,0.003,42.36,80.66,0
596540.0,0.0,0.015,-0.009,59.56,-178.45,0
596545.0,0.024,-0.006,0.044,-7.36,-28.89,0
596550.0,-0.007,-0.014,-0.014,-41.71,153.03,0
596555.0,0.012,0.01,-0.006,36.69,-117.9,0
596560.0,-0.002,0.025,0.037,33.9,3.37,0
596565.0,0.012,0.003,0.01,11.03,-49.86,0
596570.0,-0.019,-0.002,-0.016,-3.87,130.3,0
596575.0,0.003,-0.004,0.027,-8.52,-5.56,0
596580.0,-0.024,0.003,-0.026,5.1,137.22,0
596585.0,0.01,-0.014,0.017,-34.25,-29.32,0
596590.0,-0.009,0.006,0.013,19.27,36.35,0
596595.0,0.012,0.006,0.027,10.51,-24.29,0
596600.0,0.0,-0.011,0.015,-36.72,-0.91,0
596605.0,-0.009,-0.006,0.001,-34.62,85.6,0
596610.0,0.007,0.006,0.041,7.46,-10.16,0
596615.0,-0.014,-0.014,0.049,-15.09,16.21,0
596620.0,0.01,0.01,0.037,15.19,-15.0,0
596625.0,0.005,-0.002,0.017,-5.27,-16.05,0
596630.0,-0.009,0.017,0.01,51.51,42.21,0
